GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
poo-acme-voting,com.acme.voting.domain.exception,EntityNotFoundException,15,0,0,0,2,0,1,0,1,0
poo-acme-voting,com.acme.voting.domain.exception,VotingException,0,4,0,0,0,2,0,1,0,1
poo-acme-voting,com.acme.voting.domain.exception,EntityAlreadyExistsException,0,15,0,0,0,2,0,1,0,1
poo-acme-voting,com.acme.voting.domain.service,VotingService,38,111,1,3,6,26,6,11,5,10
poo-acme-voting,com.acme.voting.infrastructure.repository,InMemoryCandidateRepository,0,35,0,0,0,7,0,4,0,4
poo-acme-voting,com.acme.voting.infrastructure.repository,InMemoryPartyRepository,13,37,0,0,2,7,2,3,2,3
poo-acme-voting,com.acme.voting.app,VotingConsoleApp,405,0,20,0,85,0,29,0,19,0
poo-acme-voting,com.acme.voting.app,Main,26,0,2,0,8,0,3,0,2,0
poo-acme-voting,com.acme.voting.domain.model,Candidate,72,94,12,16,2,25,13,13,2,10
poo-acme-voting,com.acme.voting.domain.model,CandidateKey,0,9,0,0,0,1,0,1,0,1
poo-acme-voting,com.acme.voting.domain.model,Party,56,44,13,5,6,13,12,5,3,5
